Model,y_label,rec_score,pr_score,weighted_score,weighted_score_9_rec
RidgeClassifier,y_1,1.0000,0.9465,0.9733,0.9947
AdaBoostClassifier,y_1,1.0000,0.9465,0.9733,0.9947
LGBMClassifier,y_1,1.0000,0.9465,0.9733,0.9947
BernoulliNB,y_1,1.0000,0.9465,0.9733,0.9947
CalibratedClassifierCV,y_1,1.0000,0.9465,0.9733,0.9947
LinearDiscriminantAnalysis,y_1,1.0000,0.9465,0.9733,0.9947
LinearSVC,y_1,1.0000,0.9465,0.9733,0.9947
RidgeClassifierCV,y_1,1.0000,0.9465,0.9733,0.9947
LogisticRegression,y_1,1.0000,0.9465,0.9733,0.9947
SVC,y_1,1.0000,0.9465,0.9733,0.9947
KNeighborsClassifier,y_1,0.9989,0.9464,0.9727,0.9937
BaggingClassifier,y_1,0.9978,0.9464,0.9721,0.9927
RandomForestClassifier,y_1,0.9978,0.9464,0.9721,0.9927
SGDClassifier,y_1,0.9962,0.9463,0.9713,0.9912
XGBClassifier,y_1,0.9962,0.9463,0.9713,0.9912
ExtraTreesClassifier,y_1,0.9859,0.9463,0.9661,0.9819
DummyClassifier,y_1,0.9462,0.9467,0.9465,0.9462
ExtraTreeClassifier,y_1,0.9451,0.9467,0.9459,0.9453
LabelSpreading,y_1,0.9418,0.9470,0.9444,0.9424
LabelPropagation,y_1,0.9408,0.9469,0.9438,0.9414
DecisionTreeClassifier,y_1,0.9337,0.9481,0.9409,0.9351
Perceptron,y_1,0.9315,0.9470,0.9392,0.9331
GaussianNB,y_1,0.9168,0.9515,0.9342,0.9203
PassiveAggressiveClassifier,y_1,0.9147,0.9460,0.9304,0.9178
NearestCentroid,y_1,0.5739,0.9522,0.7631,0.6117
QuadraticDiscriminantAnalysis,y_1,0.0902,0.9540,0.5221,0.1766
NearestCentroid,y_2,0.5433,0.2539,0.3986,0.5144
ExtraTreeClassifier,y_2,0.2756,0.2697,0.2727,0.2750
PassiveAggressiveClassifier,y_2,0.2677,0.3063,0.2870,0.2716
Perceptron,y_2,0.2677,0.2857,0.2767,0.2695
LabelSpreading,y_2,0.2657,0.2766,0.2712,0.2668
LabelPropagation,y_2,0.2657,0.2755,0.2706,0.2667
DecisionTreeClassifier,y_2,0.2461,0.2432,0.2446,0.2458
DummyClassifier,y_2,0.2421,0.2697,0.2559,0.2449
GaussianNB,y_2,0.2205,0.2629,0.2417,0.2247
BaggingClassifier,y_2,0.1634,0.2748,0.2191,0.1745
ExtraTreesClassifier,y_2,0.1339,0.3036,0.2187,0.1508
QuadraticDiscriminantAnalysis,y_2,0.1102,0.2814,0.1958,0.1274
RidgeClassifier,y_2,0.0098,1.0000,0.5049,0.1089
LogisticRegression,y_2,0.0098,1.0000,0.5049,0.1089
RidgeClassifierCV,y_2,0.0098,1.0000,0.5049,0.1089
CalibratedClassifierCV,y_2,0.0098,1.0000,0.5049,0.1089
KNeighborsClassifier,y_2,0.0807,0.2278,0.1542,0.0954
XGBClassifier,y_2,0.0650,0.3267,0.1958,0.0911
SGDClassifier,y_2,0.0197,0.6250,0.3223,0.0802
RandomForestClassifier,y_2,0.0492,0.3425,0.1958,0.0785
LinearDiscriminantAnalysis,y_2,0.0098,0.6250,0.3174,0.0714
LinearSVC,y_2,0.0098,0.5000,0.2549,0.0589
BernoulliNB,y_2,0.0295,0.2830,0.1563,0.0549
SVC,y_2,0.0020,0.5000,0.2510,0.0518
LGBMClassifier,y_2,0.0118,0.3158,0.1638,0.0422
AdaBoostClassifier,y_2,0.0000,0.0000,0.0000,0.0000
NearestCentroid,y_3,0.3608,0.0400,0.2004,0.3287
SGDClassifier,y_3,0.1031,1.0000,0.5515,0.1928
QuadraticDiscriminantAnalysis,y_3,0.1649,0.0693,0.1171,0.1554
LogisticRegression,y_3,0.0515,1.0000,0.5258,0.1464
LinearSVC,y_3,0.0515,1.0000,0.5258,0.1464
CalibratedClassifierCV,y_3,0.0515,1.0000,0.5258,0.1464
RidgeClassifierCV,y_3,0.0515,1.0000,0.5258,0.1464
RidgeClassifier,y_3,0.0515,1.0000,0.5258,0.1464
LinearDiscriminantAnalysis,y_3,0.0515,1.0000,0.5258,0.1464
LabelPropagation,y_3,0.1340,0.0985,0.1163,0.1305
LabelSpreading,y_3,0.1340,0.0985,0.1163,0.1305
Perceptron,y_3,0.1340,0.0807,0.1074,0.1287
GaussianNB,y_3,0.1340,0.0573,0.0956,0.1263
DecisionTreeClassifier,y_3,0.1134,0.0965,0.1049,0.1117
ExtraTreeClassifier,y_3,0.0928,0.1034,0.0981,0.0938
LGBMClassifier,y_3,0.0206,0.6667,0.3436,0.0852
XGBClassifier,y_3,0.0412,0.4444,0.2428,0.0816
PassiveAggressiveClassifier,y_3,0.0722,0.1489,0.1106,0.0798
