Model,resampling_technique,y,Accuracy,weighted_score_9_rec,weighted_score_9_pr,f1_score_bad
SGDClassifier,None,y1,0.9455,0.9945,0.9509,0.9720
LogisticRegression,None,y1,0.9455,0.9945,0.9509,0.9720
RidgeClassifier,None,y1,0.9455,0.9945,0.9509,0.9720
RidgeClassifierCV,None,y1,0.9455,0.9945,0.9509,0.9720
LinearDiscriminantAnalysis,None,y1,0.9455,0.9945,0.9509,0.9720
SVC,None,y1,0.9455,0.9945,0.9509,0.9720
CalibratedClassifierCV,None,y1,0.9455,0.9945,0.9509,0.9720
AdaBoostClassifier,None,y1,0.9455,0.9945,0.9509,0.9720
BernoulliNB,None,y1,0.9455,0.9945,0.9509,0.9720
LinearSVC,None,y1,0.9455,0.9945,0.9509,0.9720
LGBMClassifier,None,y1,0.9450,0.9936,0.9512,0.9717
KNeighborsClassifier,None,y1,0.9439,0.9931,0.9507,0.9712
RandomForestClassifier,None,y1,0.9434,0.9926,0.9506,0.9709
XGBClassifier,None,y1,0.9429,0.9916,0.9509,0.9706
BaggingClassifier,None,y1,0.9429,0.9916,0.9509,0.9706
ExtraTreesClassifier,None,y1,0.9357,0.9839,0.9505,0.9667
PassiveAggressiveClassifier,None,y1,0.9120,0.9612,0.9468,0.9539
LabelSpreading,None,y1,0.9074,0.9532,0.9491,0.9512
LabelPropagation,None,y1,0.9069,0.9527,0.9490,0.9509
GaussianNB,None,y1,0.8945,0.9427,0.9456,0.9441
DecisionTreeClassifier,None,y1,0.8925,0.9407,0.9452,0.9430
DummyClassifier,None,y1,0.8915,0.9406,0.9443,0.9425
ExtraTreeClassifier,None,y1,0.8915,0.9380,0.9466,0.9423
Perceptron,None,y1,0.8801,0.9263,0.9456,0.9358
NearestCentroid,None,y1,0.5535,0.5972,0.9092,0.7027
QuadraticDiscriminantAnalysis,None,y1,0.4943,0.5383,0.9013,0.6483
CalibratedClassifierCV,over-samplig,y1,0.9455,0.9945,0.9509,0.9720
LinearSVC,over-samplig,y1,0.9455,0.9945,0.9509,0.9720
LGBMClassifier,over-samplig,y1,0.9414,0.9906,0.9503,0.9698
SGDClassifier,over-samplig,y1,0.9408,0.9901,0.9502,0.9695
LogisticRegression,over-samplig,y1,0.9398,0.9887,0.9504,0.9690
XGBClassifier,over-samplig,y1,0.9388,0.9877,0.9502,0.9684
LinearDiscriminantAnalysis,over-samplig,y1,0.9383,0.9872,0.9502,0.9681
RidgeClassifier,over-samplig,y1,0.9378,0.9867,0.9501,0.9679
RidgeClassifierCV,over-samplig,y1,0.9367,0.9857,0.9499,0.9673
RandomForestClassifier,over-samplig,y1,0.9239,0.9712,0.9498,0.9603
BaggingClassifier,over-samplig,y1,0.9151,0.9646,0.9469,0.9556
ExtraTreesClassifier,over-samplig,y1,0.9136,0.9605,0.9489,0.9546
SVC,over-samplig,y1,0.9064,0.9553,0.9463,0.9508
NuSVC,over-samplig,y1,0.8935,0.9421,0.9450,0.9436
KNeighborsClassifier,over-samplig,y1,0.8704,0.9156,0.9453,0.9301
LabelPropagation,over-samplig,y1,0.8652,0.9111,0.9441,0.9271
LabelSpreading,over-samplig,y1,0.8647,0.9106,0.9440,0.9268
DecisionTreeClassifier,over-samplig,y1,0.8601,0.9075,0.9421,0.9243
ExtraTreeClassifier,over-samplig,y1,0.8467,0.8951,0.9395,0.9165
QuadraticDiscriminantAnalysis,over-samplig,y1,0.8436,0.8908,0.9403,0.9145
PassiveAggressiveClassifier,over-samplig,y1,0.8323,0.8800,0.9384,0.9078
Perceptron,over-samplig,y1,0.8169,0.8595,0.9416,0.8976
AdaBoostClassifier,over-samplig,y1,0.7860,0.8317,0.9348,0.8786
BernoulliNB,over-samplig,y1,0.6852,0.7299,0.9239,0.8091
NearestCentroid,over-samplig,y1,0.6677,0.7110,0.9236,0.7957
DummyClassifier,over-samplig,y1,0.4923,0.5383,0.8970,0.6476
GaussianNB,over-samplig,y1,0.4594,0.5003,0.9035,0.6115
QuadraticDiscriminantAnalysis,under-sampling,y1,0.6127,0.6553,0.9181,0.7524
SVC,under-sampling,y1,0.6029,0.6442,0.9189,0.7439
PassiveAggressiveClassifier,under-sampling,y1,0.5916,0.6371,0.9111,0.7362
BaggingClassifier,under-sampling,y1,0.5838,0.6280,0.9123,0.7292
DecisionTreeClassifier,under-sampling,y1,0.5669,0.6088,0.9138,0.7136
LabelSpreading,under-sampling,y1,0.5576,0.6053,0.9033,0.7083
LabelPropagation,under-sampling,y1,0.5571,0.6044,0.9038,0.7076
LinearDiscriminantAnalysis,under-sampling,y1,0.5473,0.5848,0.9196,0.6940
LogisticRegression,under-sampling,y1,0.5463,0.5830,0.9209,0.6927
RidgeClassifierCV,under-sampling,y1,0.5463,0.5830,0.9209,0.6927
RidgeClassifier,under-sampling,y1,0.5448,0.5824,0.9192,0.6917
LinearSVC,under-sampling,y1,0.5406,0.5780,0.9192,0.6879
XGBClassifier,under-sampling,y1,0.5314,0.5747,0.9071,0.6827
BernoulliNB,under-sampling,y1,0.5273,0.5664,0.9146,0.6765
RandomForestClassifier,under-sampling,y1,0.5226,0.5651,0.9077,0.6742
ExtraTreeClassifier,under-sampling,y1,0.5216,0.5645,0.9067,0.6735
NearestCentroid,under-sampling,y1,0.5273,0.5636,0.9201,0.6749
NuSVC,under-sampling,y1,0.5123,0.5609,0.8953,0.6681
LGBMClassifier,under-sampling,y1,0.5134,0.5598,0.8992,0.6678
AdaBoostClassifier,under-sampling,y1,0.5149,0.5573,0.9069,0.6669
Perceptron,under-sampling,y1,0.5123,0.5532,0.9095,0.6636
KNeighborsClassifier,under-sampling,y1,0.5031,0.5519,0.8933,0.6596
ExtraTreesClassifier,under-sampling,y1,0.4995,0.5433,0.9024,0.6531
DummyClassifier,under-sampling,y1,0.4923,0.5383,0.8970,0.6476
CalibratedClassifierCV,under-sampling,y1,0.4702,0.5245,0.8776,0.6316
SGDClassifier,under-sampling,y1,0.4588,0.5049,0.8922,0.6147
GaussianNB,under-sampling,y1,0.3225,0.3607,0.9002,0.4501
LinearSVC,over-under-sampling,y1,0.9455,0.9945,0.9509,0.9720
SGDClassifier,over-under-sampling,y1,0.9450,0.9941,0.9508,0.9717
CalibratedClassifierCV,over-under-sampling,y1,0.9424,0.9916,0.9504,0.9703
LogisticRegression,over-under-sampling,y1,0.9321,0.9813,0.9492,0.9648
QuadraticDiscriminantAnalysis,over-under-sampling,y1,0.9295,0.9784,0.9492,0.9634
LGBMClassifier,over-under-sampling,y1,0.9264,0.9754,0.9487,0.9618
LinearDiscriminantAnalysis,over-under-sampling,y1,0.9110,0.9593,0.9474,0.9533
XGBClassifier,over-under-sampling,y1,0.9110,0.9589,0.9478,0.9533
RidgeClassifier,over-under-sampling,y1,0.9105,0.9588,0.9473,0.9530
RidgeClassifierCV,over-under-sampling,y1,0.9100,0.9583,0.9472,0.9527
SVC,over-under-sampling,y1,0.8889,0.9377,0.9443,0.9410
RandomForestClassifier,over-under-sampling,y1,0.8848,0.9307,0.9464,0.9384
ExtraTreesClassifier,over-under-sampling,y1,0.8668,0.9121,0.9448,0.9280
NuSVC,over-under-sampling,y1,0.8601,0.9070,0.9425,0.9242
BaggingClassifier,over-under-sampling,y1,0.8498,0.8985,0.9396,0.9183
PassiveAggressiveClassifier,over-under-sampling,y1,0.8323,0.8796,0.9389,0.9077
Perceptron,over-under-sampling,y1,0.8287,0.8744,0.9400,0.9053
LabelSpreading,over-under-sampling,y1,0.8128,0.8586,0.9379,0.8955
LabelPropagation,over-under-sampling,y1,0.8128,0.8586,0.9379,0.8955
KNeighborsClassifier,over-under-sampling,y1,0.7906,0.8366,0.9351,0.8816
DecisionTreeClassifier,over-under-sampling,y1,0.7886,0.8350,0.9344,0.8803
ExtraTreeClassifier,over-under-sampling,y1,0.7834,0.8314,0.9322,0.8773
NearestCentroid,over-under-sampling,y1,0.6929,0.7416,0.9200,0.8158
AdaBoostClassifier,over-under-sampling,y1,0.6857,0.7317,0.9223,0.8098
BernoulliNB,over-under-sampling,y1,0.6224,0.6692,0.9132,0.7618
GaussianNB,over-under-sampling,y1,0.4645,0.5053,0.9045,0.6166
DummyClassifier,over-under-sampling,y1,0.4254,0.4699,0.8908,0.5786
NearestCentroid,None,y2,0.5144,0.5221,0.2901,0.3543
PassiveAggressiveClassifier,None,y2,0.5880,0.3210,0.2506,0.2790
Perceptron,None,y2,0.5658,0.3195,0.2369,0.2686
LabelPropagation,None,y2,0.6265,0.2761,0.2555,0.2652
LabelSpreading,None,y2,0.6271,0.2722,0.2538,0.2625
DecisionTreeClassifier,None,y2,0.6235,0.2597,0.2441,0.2515
ExtraTreeClassifier,None,y2,0.6224,0.2596,0.2432,0.2510
DummyClassifier,None,y2,0.6363,0.2590,0.2542,0.2566
GaussianNB,None,y2,0.6384,0.2003,0.2195,0.2092
BaggingClassifier,None,y2,0.6811,0.1728,0.2443,0.1990
ExtraTreesClassifier,None,y2,0.7197,0.1478,0.2917,0.1829
QuadraticDiscriminantAnalysis,None,y2,0.7459,0.1319,0.3702,0.1627
SGDClassifier,None,y2,0.7613,0.1015,0.5224,0.0902
LinearDiscriminantAnalysis,None,y2,0.7613,0.1009,0.7890,0.0293
LogisticRegression,None,y2,0.7613,0.1009,0.7890,0.0293
RidgeClassifier,None,y2,0.7608,0.0972,0.7727,0.0252
RidgeClassifierCV,None,y2,0.7608,0.0972,0.7727,0.0252
CalibratedClassifierCV,None,y2,0.7608,0.0972,0.7727,0.0252
LinearSVC,None,y2,0.7608,0.0972,0.7727,0.0252
KNeighborsClassifier,None,y2,0.7063,0.0920,0.1982,0.1147
XGBClassifier,None,y2,0.7356,0.0769,0.2493,0.0919
RandomForestClassifier,None,y2,0.7387,0.0614,0.2290,0.0696
LGBMClassifier,None,y2,0.7562,0.0553,0.3617,0.0327
SVC,None,y2,0.7582,0.0519,0.4502,0.0042
BernoulliNB,None,y2,0.7562,0.0357,0.2706,0.0125
AdaBoostClassifier,None,y2,0.7577,0.0000,0.0000,0.0000
GaussianNB,over-samplig,y2,0.4177,0.6334,0.2882,0.3597
DummyClassifier,over-samplig,y2,0.5170,0.4986,0.2834,0.3447
NearestCentroid,over-samplig,y2,0.5715,0.4112,0.2792,0.3255
BernoulliNB,over-samplig,y2,0.5607,0.3927,0.2659,0.3102
Perceptron,over-samplig,y2,0.5633,0.3750,0.2600,0.3012
PassiveAggressiveClassifier,over-samplig,y2,0.6116,0.3488,0.2792,0.3080
AdaBoostClassifier,over-samplig,y2,0.6013,0.3280,0.2626,0.2896
LabelSpreading,over-samplig,y2,0.5952,0.3155,0.2526,0.2786
LabelPropagation,over-samplig,y2,0.5926,0.3153,0.2509,0.2774
ExtraTreeClassifier,over-samplig,y2,0.5849,0.3108,0.2438,0.2710
KNeighborsClassifier,over-samplig,y2,0.6199,0.2976,0.2613,0.2776
DecisionTreeClassifier,over-samplig,y2,0.6091,0.2585,0.2327,0.2445
BaggingClassifier,over-samplig,y2,0.6456,0.2458,0.2550,0.2503
ExtraTreesClassifier,over-samplig,y2,0.6600,0.2089,0.2460,0.2251
RandomForestClassifier,over-samplig,y2,0.6831,0.1731,0.2474,0.2000
SGDClassifier,over-samplig,y2,0.6795,0.1390,0.2126,0.1638
NuSVC,over-samplig,y2,0.7238,0.1278,0.2824,0.1596
XGBClassifier,over-samplig,y2,0.7217,0.1228,0.2714,0.1534
LinearSVC,over-samplig,y2,0.7613,0.1115,0.9013,0.0252
QuadraticDiscriminantAnalysis,over-samplig,y2,0.7521,0.1076,0.3897,0.1236
LogisticRegression,over-samplig,y2,0.7608,0.0972,0.7727,0.0252
CalibratedClassifierCV,over-samplig,y2,0.7603,0.0816,0.5646,0.0412
LinearDiscriminantAnalysis,over-samplig,y2,0.7598,0.0770,0.5742,0.0291
RidgeClassifier,over-samplig,y2,0.7598,0.0770,0.5742,0.0291
RidgeClassifierCV,over-samplig,y2,0.7598,0.0770,0.5742,0.0291
SVC,over-samplig,y2,0.7562,0.0706,0.3967,0.0558
LGBMClassifier,over-samplig,y2,0.7464,0.0650,0.2784,0.0681
BaggingClassifier,under-sampling,y2,0.4614,0.5882,0.2897,0.3596
RandomForestClassifier,under-sampling,y2,0.4825,0.5245,0.2776,0.3416
ExtraTreesClassifier,under-sampling,y2,0.4907,0.5209,0.2797,0.3435
LGBMClassifier,under-sampling,y2,0.5159,0.5143,0.2882,0.3515
LabelPropagation,under-sampling,y2,0.4928,0.5112,0.2773,0.3400
XGBClassifier,under-sampling,y2,0.5185,0.5085,0.2874,0.3500
LabelSpreading,under-sampling,y2,0.4923,0.5072,0.2758,0.3380
DummyClassifier,under-sampling,y2,0.5170,0.4986,0.2834,0.3447
NearestCentroid,under-sampling,y2,0.5046,0.4960,0.2771,0.3381
PassiveAggressiveClassifier,under-sampling,y2,0.4959,0.4917,0.2720,0.3324
SGDClassifier,under-sampling,y2,0.4923,0.4876,0.2691,0.3290
Perceptron,under-sampling,y2,0.5350,0.4780,0.2846,0.3430
LinearSVC,under-sampling,y2,0.5283,0.4776,0.2813,0.3398
BernoulliNB,under-sampling,y2,0.5067,0.4765,0.2712,0.3298
LogisticRegression,under-sampling,y2,0.5247,0.4754,0.2789,0.3372
NuSVC,under-sampling,y2,0.5448,0.4746,0.2883,0.3459
RidgeClassifier,under-sampling,y2,0.5242,0.4734,0.2780,0.3360
RidgeClassifierCV,under-sampling,y2,0.5231,0.4734,0.2775,0.3355
DecisionTreeClassifier,under-sampling,y2,0.4990,0.4722,0.2665,0.3245
LinearDiscriminantAnalysis,under-sampling,y2,0.5231,0.4714,0.2768,0.3345
CalibratedClassifierCV,under-sampling,y2,0.5221,0.4714,0.2763,0.3341
KNeighborsClassifier,under-sampling,y2,0.5026,0.4645,0.2652,0.3224
ExtraTreeClassifier,under-sampling,y2,0.5005,0.4644,0.2643,0.3215
